id,username,employee_name,label
1,john.smith,John Smith,1
2,john_smith,John Smith,1
3,jsmith,John Smith,1
4,j.smith,John Smith,1
5,johnny_s,John Smith,1
6,robertw,John Smith,0
7,robert,John Smith,0
8,lwilson,John Smith,0
9,harrisj,John Smith,0
10,jessica,John Smith,0
11,emilydavis,Emily Davis,1
12,davisem,Emily Davis,1
13,emily_d,Emily Davis,1
14,em.davis,Emily Davis,1
15,em_davis,Emily Davis,1
16,wilsonl,Emily Davis,0
17,laura.w,Emily Davis,0
18,sarahj,Emily Davis,0
19,david,Emily Davis,0
20,jamest,Emily Davis,0
21,mbrown,Michael Brown,1
22,michael_b,Michael Brown,1
23,mike,Michael Brown,1
24,brownm,Michael Brown,1
25,mikeb,Michael Brown,1
26,sjohnson,Michael Brown,0
27,emily_d,Michael Brown,0
28,john.smith,Michael Brown,0
29,wilsonl,Michael Brown,0
30,d.lee,Michael Brown,0
31,sarahj,Sarah Johnson,1
32,sjohnson,Sarah Johnson,1
33,saraj,Sarah Johnson,1
34,s.johnson,Sarah Johnson,1
35,johnsons,Sarah Johnson,1
36,j.smith,Sarah Johnson,0
37,johnsmith,Sarah Johnson,0
38,robertw,Sarah Johnson,0
39,j.harris,Sarah Johnson,0
40,jharris,Sarah Johnson,0
41,d.lee,David Lee,1
42,dlee,David Lee,1
43,davidlee,David Lee,1
44,leed,David Lee,1
45,david,David Lee,1
46,sarahjohnson,David Lee,0
47,james,David Lee,0
48,johnny_s,David Lee,0
49,james,David Lee,0
50,saraj,David Lee,0
51,lauraw,Laura Wilson,1
52,wilsonl,Laura Wilson,1
53,l.wilson,Laura Wilson,1
54,lwilson,Laura Wilson,1
55,laura.w,Laura Wilson,1
56,em_davis,Laura Wilson,0
57,mikeb,Laura Wilson,0
58,emily,Laura Wilson,0
59,robertw,Laura Wilson,0
60,john.smith,Laura Wilson,0
61,jtaylor,James Taylor,1
62,james_t,James Taylor,1
63,taylorj,James Taylor,1
64,jamest,James Taylor,1
65,james,James Taylor,1
66,robert,James Taylor,0
67,john,James Taylor,0
68,saraj,James Taylor,0
69,jharris,James Taylor,0
70,johnsons,James Taylor,0
71,olivia.m,Olivia Martin,1
72,martino,Olivia Martin,1
73,olivia,Olivia Martin,1
74,martin_olivia,Olivia Martin,1
75,oliviam,Olivia Martin,1
76,david,Olivia Martin,0
77,davisem,Olivia Martin,0
78,emily_d,Olivia Martin,0
79,d.lee,Olivia Martin,0
